x,BER Mean Restricted,std
449,0.164453125,0.008126033
450,0.165527344,0.009590719
451,0.162792969,0.01161699
452,0.164355469,0.012250314
453,0.164355469,0.013523187
454,0.166015625,0.010214302
455,0.161669922,0.008911501
456,0.163476563,0.013345004
457,0.165673828,0.008913106
458,0.159375,0.010139804
459,0.167285156,0.014021751
460,0.160839844,0.013265084
461,0.164599609,0.004429387
462,0.160205078,0.011412523
463,0.163037109,0.008359312
464,0.165039063,0.014808694
465,0.165722656,0.008705111
466,0.163867188,0.010247394
467,0.16171875,0.010540091
468,0.162744141,0.013602029
469,0.164257813,0.009633382
470,0.160693359,0.007746455
471,0.161865234,0.007066595
472,0.160742188,0.009662048
473,0.162402344,0.00780395
474,0.162988281,0.007455848
475,0.159375,0.006329602
476,0.164306641,0.011214004
477,0.161279297,0.009620628
478,0.163330078,0.007751993
479,0.161083984,0.007749533
480,0.162597656,0.011906456
481,0.160253906,0.010408067
482,0.165478516,0.010636129
483,0.158007813,0.007216658
484,0.160742188,0.008102527
485,0.161523438,0.00829446
486,0.161572266,0.008322152
487,0.160009766,0.009692229
488,0.165722656,0.006784123
489,0.161914063,0.008800448
490,0.163964844,0.008725902
491,0.165771484,0.011399563
492,0.166357422,0.014865017
493,0.160351563,0.009826956
494,0.159912109,0.01061324
495,0.164306641,0.008990874
496,0.161962891,0.012629506
497,0.163525391,0.008556633
498,0.163134766,0.00909423
499,0.164306641,0.011347156
500,0.158007813,0.013043965
501,0.162060547,0.009370548
502,0.166162109,0.006199634
503,0.162255859,0.009714343
504,0.16328125,0.01186875
505,0.164355469,0.010071385
506,0.167285156,0.013003692
507,0.158251953,0.005109251
508,0.161621094,0.012216793
509,0.161474609,0.010777751
510,0.160498047,0.007580321
511,0.157958984,0.00930621
512,0.161572266,0.010822784
513,0.160644531,0.009218047
514,0.161523438,0.012741802
515,0.157666016,0.009832413
516,0.159277344,0.008487671
517,0.16015625,0.008363732
518,0.160742188,0.007704329
519,0.158691406,0.008251809
520,0.157568359,0.004459428
521,0.158251953,0.010577687
522,0.162548828,0.005762753
523,0.157226563,0.00816759
524,0.161425781,0.010142155
525,0.160839844,0.009019865
526,0.161181641,0.009337413
527,0.161669922,0.011135489
528,0.156835938,0.007385163
529,0.159326172,0.011153887
530,0.156884766,0.010111195
531,0.157470703,0.009182414
532,0.154345703,0.010829391
533,0.160205078,0.011027916
534,0.160644531,0.008685369
535,0.159326172,0.006836112
536,0.156054688,0.009889835
537,0.162060547,0.006158735
538,0.160107422,0.008631536
539,0.162451172,0.009194869
540,0.157910156,0.011368043
541,0.159521484,0.006039903
542,0.158300781,0.007588965
543,0.161328125,0.010007264
544,0.157470703,0.009729548
545,0.155810547,0.011475025
546,0.160595703,0.009198498
547,0.159570313,0.007433431
548,0.160791016,0.007255702
549,0.161572266,0.008036492
550,0.160595703,0.011010607
551,0.155419922,0.012327627
552,0.1640625,0.008185085
553,0.159277344,0.009857478
554,0.163476563,0.010843362
555,0.162158203,0.006013794
556,0.160400391,0.007895222
557,0.15703125,0.005241694
558,0.162695313,0.009713729
559,0.165429688,0.009225286
560,0.160791016,0.009513468
561,0.160253906,0.011585341
562,0.160742188,0.008417153
563,0.1640625,0.010445111
564,0.161523438,0.005780722
