x,BER Mean,std
218,0.1015625,0.038572364
219,0.103710938,0.041560279
220,0.101806641,0.044407428
221,0.099365234,0.041364224
222,0.102490234,0.039932004
223,0.099121094,0.037694554
224,0.097558594,0.035109968
225,0.099414063,0.042992159
226,0.098779297,0.039116205
227,0.099072266,0.041052491
228,0.099707031,0.03611354
229,0.097216797,0.040367868
230,0.095947266,0.039864359
231,0.099414063,0.037664308
232,0.093115234,0.040390659
233,0.092919922,0.03953815
234,0.095800781,0.036676261
235,0.0921875,0.038112095
236,0.091845703,0.041288763
237,0.090039063,0.038342485
238,0.090820313,0.042213601
239,0.091210938,0.043194983
240,0.093115234,0.037939202
241,0.091552734,0.042075708
242,0.091552734,0.03982307
243,0.091552734,0.038599088
244,0.089453125,0.038202072
245,0.091357422,0.036713718
246,0.089111328,0.039993334
247,0.087939453,0.039497366
248,0.088574219,0.037331776
249,0.089111328,0.041386697
250,0.08515625,0.040301517
251,0.088378906,0.039204454
252,0.086474609,0.038170635
253,0.083105469,0.034090844
254,0.086376953,0.040464613
255,0.084033203,0.039842344
256,0.086816406,0.037840883
257,0.086914063,0.039436684
258,0.081445313,0.039296661
259,0.087353516,0.035827635
260,0.084716797,0.042853878
261,0.0875,0.040297731
262,0.083886719,0.040185755
263,0.086035156,0.041967085
264,0.086523438,0.040068111
265,0.083984375,0.045233401
266,0.078662109,0.038860838
267,0.082763672,0.042837741
268,0.082617188,0.04177234
269,0.082666016,0.042977655
270,0.080810547,0.039270837
271,0.078515625,0.040321981
272,0.082177734,0.038069063
273,0.081005859,0.041763578
274,0.078222656,0.04060187
275,0.078173828,0.037157177
276,0.082763672,0.039707955
277,0.074658203,0.042317649
278,0.077490234,0.038882673
279,0.075878906,0.039077268
280,0.075634766,0.040400339
281,0.076953125,0.040565094
282,0.07734375,0.041947423
283,0.077148438,0.037838489
284,0.074414063,0.040207345
285,0.072167969,0.039131287
286,0.074658203,0.043440816
287,0.071289063,0.037786786
288,0.072119141,0.036525298
289,0.069824219,0.039893504
290,0.071435547,0.042998176
291,0.072070313,0.042504147
292,0.069091797,0.038869304
293,0.069042969,0.035817485
294,0.066992188,0.03942447
295,0.068945313,0.040463051
296,0.068115234,0.037421112
297,0.063134766,0.036215231
298,0.065429688,0.039192289
299,0.068847656,0.037853608
300,0.066943359,0.036843368
301,0.063525391,0.035882825
302,0.066064453,0.040167507
303,0.063037109,0.042604015
304,0.067431641,0.041721883
305,0.065429688,0.040080723
306,0.065722656,0.04106396
307,0.066259766,0.041860856
308,0.062548828,0.038829536
309,0.066015625,0.039408139
310,0.064599609,0.036892258
311,0.0640625,0.038403126
312,0.063623047,0.037401228
313,0.061767578,0.034782114
314,0.064013672,0.036865364
315,0.064453125,0.036899334
316,0.064160156,0.03895444
317,0.068798828,0.037573837
318,0.065185547,0.039508109
319,0.062011719,0.039652526
320,0.063623047,0.035351057
321,0.064160156,0.040137313
322,0.061962891,0.039146303
323,0.060449219,0.036724983
324,0.059814453,0.038034101
325,0.059960938,0.039880833
326,0.061181641,0.0338362
327,0.059082031,0.037092667
328,0.059472656,0.037849703
329,0.06328125,0.039079098
330,0.061083984,0.04086564
331,0.059619141,0.0366305
332,0.062597656,0.039243234
333,0.062988281,0.039535708
334,0.059863281,0.038732247
335,0.057958984,0.039723443
336,0.059667969,0.037858521
337,0.058837891,0.039475508
338,0.056738281,0.039102031
339,0.056494141,0.037867494
340,0.058935547,0.038403282
341,0.058251953,0.039186844
342,0.060205078,0.035989376
343,0.054248047,0.040845799
344,0.058740234,0.037545018
345,0.055517578,0.037087557
346,0.060205078,0.038828062
347,0.057763672,0.038408869
348,0.057373047,0.040001084
349,0.054541016,0.03928407
350,0.057421875,0.038146111
351,0.054833984,0.03896108
352,0.057958984,0.039299847
353,0.055615234,0.039110353
354,0.053613281,0.040582488
355,0.054638672,0.03843704
356,0.055859375,0.041059315
357,0.052197266,0.038319627
358,0.053125,0.039313646
359,0.053515625,0.037251859
360,0.056054688,0.039828788
361,0.055957031,0.041277646
362,0.050292969,0.037810755
363,0.052050781,0.041059315
364,0.053857422,0.040973198
365,0.051660156,0.042120195
366,0.053808594,0.040500744
367,0.052636719,0.041213252
368,0.052148438,0.042012509
369,0.052050781,0.040805942
370,0.051708984,0.03835694
371,0.05390625,0.04287165
372,0.048925781,0.040195839
373,0.051220703,0.040554661
374,0.049121094,0.036436514
375,0.051318359,0.039402482
376,0.051269531,0.043222131
377,0.052050781,0.038853935
378,0.051611328,0.04000752
379,0.049316406,0.037571013
380,0.048388672,0.039845934
381,0.050634766,0.042997067
382,0.050976563,0.040671923
383,0.048583984,0.041131283
384,0.053076172,0.039821155
385,0.047558594,0.04146149
386,0.052441406,0.042451386
387,0.050341797,0.042891805
388,0.051171875,0.042015346
389,0.047509766,0.040828635
