x,BER Mean unrestricted,std,
799,5.52E-03,1.73E-03,
800,6.54E-03,2.21E-03,
801,5.62E-03,1.76E-03,
802,6.05E-03,2.36E-03,
803,5.18E-03,2.75E-03,
804,4.30E-03,1.72E-03,
805,4.49E-03,1.74E-03,
806,5.96E-03,1.88E-03,
807,5.13E-03,1.86E-03,
808,6.05E-03,2.04E-03,
809,5.86E-03,2.54E-03,
810,4.39E-03,1.05E-03,
811,4.20E-03,1.88E-03,
812,4.20E-03,1.52E-03,
813,5.47E-03,2.40E-03,
814,4.74E-03,2.62E-03,
815,5.47E-03,2.06E-03,
816,3.96E-03,1.87E-03,
817,4.05E-03,1.84E-03,
818,5.27E-03,1.63E-03,
819,5.66E-03,2.05E-03,
