x,Average Energy Unrestricted,std
384,4.387565,0.43607192
385,4.395426,0.431131251
386,4.380177,0.435321078
387,4.37617,0.420261635
388,4.379998,0.358724904
389,4.361301,0.377373473
390,4.368366,0.364144919
391,4.357142,0.349505099
392,4.354634,0.351493351
393,4.333441,0.35039596
394,4.3442,0.385555603
395,4.319724,0.338636907
396,4.331729,0.315152527
397,4.349283,0.333911903
398,4.344661,0.346458378
399,4.325821,0.352394214
400,4.318693,0.328702247
401,4.318236,0.35302657
402,4.326257,0.372485611
403,4.306114,0.364757849
404,4.322389,0.353082105
405,4.297366,0.384369096
406,4.306008,0.400687597
407,4.305722,0.389030025
408,4.324975,0.404546654
409,4.301007,0.434921325
410,4.311639,0.409076851
411,4.294072,0.400198582
412,4.332852,0.406402032
413,4.331697,0.376915822
414,4.304069,0.423693513
415,4.317911,0.430511976
416,4.315141,0.422596541
417,4.320935,0.439166287
418,4.308518,0.490405746
419,4.302844,0.455927572
420,4.304712,0.456794138
421,4.318032,0.482595452
422,4.306514,0.444544638
423,4.248062,0.442930031
424,4.256529,0.457795941
425,4.261276,0.461357274
426,4.260433,0.46619839
427,4.23625,0.47176798
428,4.240691,0.47523168
429,4.21024,0.456412369
430,4.224623,0.489192465
431,4.219053,0.470700952
432,4.191091,0.44806798
433,4.172674,0.47057528
434,4.176632,0.471051267
435,4.174957,0.484282451
436,4.1765,0.513718578
437,4.155412,0.499223257
438,4.180284,0.510422981
439,4.1681,0.508998155
440,4.188585,0.546423307
441,4.160655,0.535022579
442,4.175406,0.544076009
443,4.158742,0.5536564
444,4.142357,0.545041953
445,4.167616,0.517679517
446,4.135715,0.523887887
447,4.134616,0.518154984
448,4.149338,0.502371478
449,4.121594,0.522881984
450,4.111957,0.5116691
451,4.102946,0.513240707
452,4.097896,0.496648944
453,4.086976,0.522323256
454,4.075204,0.507567295
455,4.040465,0.514869454
456,4.040973,0.513647895
457,4.063411,0.509267451
458,4.041495,0.501005136
459,3.998136,0.472846321
460,4.032048,0.469030066
461,4.01191,0.430790951
462,3.995364,0.471477232
463,3.998193,0.44524346
464,3.985642,0.422530518
465,3.98721,0.421105031
466,3.977803,0.438303913
467,3.964588,0.414246326
468,3.975436,0.422763324
469,3.955916,0.403325627
470,3.955047,0.380124362
471,3.920033,0.394956277
472,3.911018,0.353520517
473,3.930336,0.365480093
474,3.89446,0.350988324
